ID	Pattern #	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4
Simulated_feature_group_A_15	2	12	28	39	16	29	2	15	25	11	32	22	37	19	16	26	17	45	19	25	29	25	24	16	25	18	23	15	8	24	23	18	17	57	19	10	146	44	116	105	108	68	86	218	61	85	148	82	50	65	111	233	44	24	146	94	223	164	45	93	114	65	57	154	96	88	33	171	66	68	71	406	853	538	660	396	470	653	718	797	691	255	292	318	435	393	684	624	561	305	586	1247	850	1417	924	522	264	724	406	461	1034	1348	357	676	838	316	3438	10663	6233	4152	8124	6518	10346	3768	3225	10370	10940	7559	2485	10492	8423	7216	5596	4598	4353	8234	6027	7385	9656	10451	6586	13285	10422	5799	5622	6130	6566	2629	5410	4297	5387
Simulated_feature_group_A_16	2	8	1	241	238	21	0	3	252	92	5	34	50	776	141	229	343	125	21	0	1	0	44	24	449	0	38	0	370	29	0	179	38	59	75	32	283	0	39	109	1795	155	38	429	0	0	63	457	2062	416	338	209	1619	289	1399	1265	102	30	14	4	13	51	126	626	13	37	0	7	37	90	2271	6737	491	3805	1382	357	102	945	178	0	497	31	0	9725	29600	1	709	1334	61	3344	10047	2580	3326	5	8157	36	428	0	1	127	1	292	4	63	11942	410	698	2703	2346	65290	6	8390	0	0	173	214874	128	1968	15612	30	2028	4788	5814	1	880	168861	1	1897	189	49038	45	51411	123	8	29	58957	31346	21176	503	110831	405
Simulated_feature_group_A_18	2	203	119	0	0	103	49	3	231	0	0	18	0	181	5	0	71	0	48	56	306	0	2	134	283	1	36	309	149	42	14	0	3	4	35	1	113	3	0	997	2	11	29	35	0	9	0	0	43	214	550	422	777	11	5	1830	436	158	13	0	1475	336	364	97	126	790	96	151	113	1306	2	29845	0	749	9	1010	532	3465	311	22	101	1555	0	404	7796	392	1	643	4083	372	11	5	1012	134	12738	2371	54	0	15820	87	1649	3557	0	8	992	2089	1201	0	54542	38934	9347	6737	36005	3262	53988	5335	421	6	32899	79493	449	2094	6771	1367	10015	44	179443	19171	352	16327	4051	1666	4947	3890	29535	61	8339	0	623	0	141322
Simulated_feature_group_A_20	2	32	6	12	2	0	13	20	8	21	5	111	90	81	3	32	18	64	13	4	133	0	0	23	7	0	151	14	11	20	92	2	1	0	46	175	36	75	55	1023	0	522	20	0	627	11	8	29	216	46	1	85	143	308	2	80	1085	96	0	55	0	0	31	4	98	4	393	0	98	214	3	37	7	157	580	951	0	33	0	53	2440	3307	18259	1526	1439	746	3342	8446	149	278	18	15	74	15	5	1437	89	292	378	4277	139	380	30	485	523	2077	27335	340	1	0	5	4481	17730	21868	29567	1441	21982	42713	65803	485	6138	61233	65424	19050	290	18461	2261	15793	537	9361	81362	3823	21485	46	2606	0	0	29351	727	0	20105
Simulated_feature_group_A_21	2	284	96	21	288	45	151	28	20	2	73	113	212	64	14	31	222	1	75	226	132	11	237	99	246	4	154	33	192	223	115	13	29	163	89	4	240	427	93	132	1958	406	125	726	85	174	1145	33	744	164	64	114	736	213	1818	815	417	1074	732	151	120	40	24	818	422	626	1208	360	120	232	202	1421	2508	1082	6398	3047	1705	3472	3031	1902	2127	2231	5438	777	1480	3778	4653	4623	3003	3207	5435	1797	1141	5091	3520	3579	13732	279	2297	5278	1141	7883	1979	265	2849	657	16944	1129	6143	6951	37377	69764	13727	11214	3994	35809	85303	34170	28940	39321	2222	39754	49208	25625	8195	4949	16728	16347	7339	9305	20588	28672	37880	74620	33015	27930	24221	21930	10620	8660	1338
Simulated_feature_group_A_22	2	26	3	5	22	0	6	4	2	18	0	4	3	54	7	0	5	18	20	11	7	18	5	44	36	16	32	8	1	1	10	44	0	5	1	78	51	1	3	0	2	3	9	25	2	72	44	9	55	5	42	0	0	117	1	107	9	44	0	42	40	49	46	6	11	60	4	412	86	143	96	42	1133	61	22	36	26	2	1319	725	34	213	293	0	161	50	6	1508	0	1175	1460	57	427	1	23	242	145	17	334	1	1865	93	36	158	2	458	154	868	22	427	88	2025	879	10	88	1029	1175	2297	1546	1685	13	13490	3087	199	2827	25	13784	12848	3208	143	236	1541	8612	479	509	92	14249	11300	13735	10933	0
Simulated_feature_group_A_23	2	534	88	130	3	312	39	30	1	0	62	4	429	561	36	7	35	16	5	221	81	56	12	115	159	21	0	0	1127	950	25	16	1363	32	149	0	1123	4	2	6846	0	314	0	0	0	1	1421	800	0	0	592	46	1375	74	1228	691	594	988	8408	1024	10	3	359	1632	166	1	0	574	4	153	746	728	8127	1048	2845	10	4	415	0	3751	594	23713	4	11	31	38	4971	833	1513	57165	5207	25693	683	2622	2	249	33359	1018	57	1170	235	190	18702	5	25	4	0	9546	59	15055	8194	12191	105496	57966	446	670	0	916	97958	27313	210304	19857	10504	64977	824	108	99	24443	6423	9428	63	364608	1	3942	1895	54207	19774	22022	2054	58221	239869
Simulated_feature_group_A_26	4	1	8	780	428	57	2937	1596	1	0	159	28	2372	2375	3613	15550	10017	0	1932	328	6	30	191	5	3307	170	138	9379	119	3467	1634	610	0	2	5	3	2638	39341	3264	12922	124	0	334	2049	959	71084	4	13770	3120	8200	232	1442	592	0	1473	42017	176	2965	13072	31	2807	11370	82	1359	4595	93364	630	17153	4074	382	11	1751	36903	324	3745	11209	196112	74	176464	0	5	12271	81046	312928	5134	114221	33641	21596	717	24655	134820	23165	530187	54	85538	140090	17367	10533	1594	95956	1657	131638	561	5342	606	6489	237	1485990	70397	1448870	620124	29243	3925750	163126	14997	326532	811209	503872	46	7225210	215	2059890	130990	522623	26	106940	807264	109494	577	1817420	963324	1236750	30582	8	79823	2064	46356	946	399903	15386	13986
Simulated_feature_group_A_27	2	0	21	6	4	2	13	15	268	20	298	0	7	439	95	0	70	0	12	1	0	3	0	83	21	536	60	11	10	4	293	137	3	7	96	36	75	2176	0	1	2716	92	1004	2391	0	27	133	0	466	34	296	0	182	3	298	2849	1053	16	172	172	232	9	236	858	2240	263	60	0	217	0	0	3	12203	2	69	10	6219	278	5054	549	590	83	0	9440	184	0	4687	668	2774	12374	22	576	394	796	1	70	162	146	207	0	784	2195	990	4168	2516	5681	887	1109	101432	58044	5496	623	72590	15184	404	480	1344	4644	73664	78957	315	0	339	71113	11195	39733	81973	6	38	156296	10695	96	3	85583	0	9847	50446	8581	2537	21290	42
Simulated_feature_group_A_28	2	63	109	77	88	80	120	30	220	319	178	55	59	96	103	76	169	174	103	49	47	96	44	29	151	175	198	277	90	38	104	85	8	48	87	31	558	865	255	415	672	391	224	373	688	284	126	244	669	426	796	501	289	868	402	210	482	648	216	124	170	399	185	514	60	733	85	483	222	568	490	2721	1175	222	4511	3805	2539	4352	3125	4943	3404	2242	1228	2352	4245	4237	1348	1669	2839	2984	3222	289	2162	744	1375	1122	2766	2840	2929	3117	928	1355	981	2336	1841	4428	23706	26316	7864	48318	13114	40907	26138	11690	11892	8094	5307	22008	45755	10078	12766	25013	17809	14241	8922	10537	19053	14347	5158	39988	15539	59078	9838	24388	29345	23691	101811	46800	2504	8969	21224
Simulated_feature_group_A_29	2	2	2	1	16	19	355	11	19	6	104	371	2	23	58	206	83	527	228	9	36	0	120	14	17	1	8	18	2	1	362	32	18	8	6	36	533	0	92	224	261	74	256	748	1371	292	598	530	32	1011	58	533	127	1008	9	193	1359	19	133	408	89	70	16	1117	868	114	33	289	91	323	1015	2	0	1982	512	1285	276	677	0	55	842	5	39	1189	8	960	290	103	193	5	391	9	2	26	111	377	24	142	0	412	1435	2341	516	12	324	1531	82469	11223	6296	2981	9159	131	10769	13254	8929	89967	13644	6300	2969	1449	4277	1741	9773	10357	4685	56137	6467	657	48206	4607	45708	328	14641	38845	13570	36314	4391	3885	10153	8120	88866
Simulated_feature_group_A_30	2	3	0	14	4	4	1	0	1	2	0	0	11	0	2	18	1	0	4	9	5	0	0	1	0	3	0	3	5	0	1	5	9	0	0	12	14	29	17	8	2	33	10	15	22	2	90	14	52	23	25	1	49	4	0	21	79	2	11	26	85	12	61	23	24	53	8	100	1	119	7	435	11	59	226	93	434	98	608	393	22	84	90	376	15	35	217	350	889	57	507	377	73	145	105	13	51	200	222	613	31	490	98	94	217	550	549	2451	617	122	37	113	593	12	3483	7458	51	214	1436	95	2	626	2260	1836	2219	57	282	447	1316	3858	1737	93	101	0	252	73	524	1022	5405	4745	210
Simulated_feature_group_A_31	2	2	4	0	3	3	115	271	42	5	0	0	2	0	1	9	0	161	0	28	4	0	1	19	0	0	47	35	49	4	56	32	0	20	78	144	330	124	337	1	5	1192	0	32	1	4	21	5	85	1	38	440	1	0	48	0	156	85	576	5	2456	1149	0	18	4	1	1568	29	134	19	51	389	192	16692	178	53	1819	314	3627	77	252	5184	382	3419	22	0	421	1165	8361	19579	200	0	2768	2123	72	0	988	15	0	198	6833	5404	0	1447	1642	595	1345	94772	53090	855	118	315	17107	24709	5	14966	2920	1164	103	3204	8763	5	1881	80	127	0	2739	1555	25821	22661	1469	2942	66399	11784	12435	6560	186	0	55200	0	45
Simulated_feature_group_A_32	2	1	3	15	2	19	0	333	0	130	4	80	0	16	0	3	34	163	4	480	6	283	345	23	262	0	327	201	15	0	0	0	0	24	172	0	34	46	326	892	317	73	128	344	42	0	2589	7	15	338	5	1691	2836	1281	5	2721	44	1753	0	1848	76	1101	394	1036	577	2	63	28	4	288	5942	91	1272	91	160	28	656	3508	3012	14132	519	62	0	25	274	167	0	0	305	496	2289	2	11330	898	2022	3161	12	34	11535	18337	32	2791	2222	0	3802	412	10944	133	1905	11	205	7724	39599	10	0	983	736	118	3	130486	217468	6921	956	1199	10658	351	0	50911	32572	67221	664	62636	20542	20274	1099	108	53848	0	174	6809	286
Simulated_feature_group_A_33	4	584	513	107	517	175	59	546	60	451	214	197	74	123	19	38	127	219	181	498	45	2	62	3	1	763	124	346	133	173	713	319	787	407	545	75	742	1639	1647	4089	3473	186	2747	1121	2742	2829	5067	73	997	579	288	975	1519	1808	1524	178	2980	198	432	2248	1067	585	913	904	175	123	911	978	4700	4132	2066	1364	18483	27723	4880	10068	6915	2162	2008	7850	2548	15822	34293	780	22857	7425	1593	38552	2379	11134	3255	2877	5518	4134	6641	5675	31064	4922	11458	1400	25146	12014	13637	12802	8818	6011	16925	10565	28137	66987	29608	62947	19637	30322	106152	66311	70291	39425	18103	200597	96206	36596	17696	21869	75781	87768	177451	2620	170221	404869	67497	138320	24531	6189	149305	17802	109442	46088	227707	21690	133234
Simulated_feature_group_A_34	2	1	0	6	40	516	122	9	3	75	2	238	81	35	66	219	52	0	0	45	0	0	0	9	1	21	0	16	11	55	469	169	0	5	44	39	935	11	2	7	40	10	0	5	0	685	76	14	476	12	72	32	20	73	68	4	2	275	0	1	242	49	0	3	8	169	173	4	42	50	0	73	69	2136	131	35	385	9	105	84	4735	1	1846	2	485	4	1237	7	30	1091	2232	0	18	0	7	26	1610	2924	954	1742	12	1848	175	1298	943	5384	8	3062	4231	2754	44884	6348	34	16706	13280	17	2564	320	34535	157	10161	3	3739	3646	767	85271	8061	2298	41195	6296	3681	732	70	40	5982	27730	1392	47	19282	1533	136
Simulated_feature_group_A_36	2	66	9	11	0	4	42	1	37	51	43	26	22	29	60	4	3	1	12	0	169	27	0	13	9	75	0	22	0	10	0	14	1	0	1	170	40	25	0	228	21	421	702	41	102	0	216	566	84	1	147	108	23	262	3	159	251	246	51	160	483	61	0	784	289	163	41	396	581	1258	123	0	3640	252	415	228	208	75	1541	589	0	9433	9	132	1218	568	184	12990	653	636	58	13	1896	42	6	127	283	287	0	5	0	1664	407	4768	433	1	6465	3113	20245	328	389	2476	23495	7184	12021	390	3838	3781	344	6614	46	55515	6734	551	567	22695	7103	18327	19511	790	1643	34143	5460	30	2177	379	9	64959	523	239	13302
Simulated_feature_group_A_37	2	7	170	14	162	14	1	34	94	0	155	0	12	163	0	66	0	139	1005	646	27	0	835	39	7	204	7	467	337	0	1228	38	4	63	30	0	2	507	2253	94	101	580	5463	27	658	644	0	0	69	0	0	1316	179	0	30	284	650	1739	373	146	21	6038	27	869	93	3084	0	50	0	277	516	32090	90	0	7055	1321	1209	0	0	205	249	13784	1881	1002	2443	92	5160	246	3228	34	278	4726	0	820	48	3851	4022	25306	5657	59	3	3085	2843	170	1027	2049	0	0	88	14976	0	2	18742	3521	317	211381	2292	153060	137423	63611	190	12552	28537	34699	5048	1	75472	3305	13519	13522	99	25336	17544	26014	63432	81893	3205	101771	70860	308984	127560
Simulated_feature_group_A_40	4	1475	1254	1357	1741	365	1829	1353	4719	1718	1239	824	1011	1777	1241	939	1749	838	3190	3842	3090	2984	1319	2916	1507	1949	1804	818	2531	1218	2113	2550	1739	1110	716	3678	10081	8767	8184	11882	5153	2127	18194	4774	4008	4520	20877	4258	24171	11104	6889	4621	4808	17230	5482	5860	2035	10573	5442	12082	10990	8499	10643	10791	11175	5002	12224	5061	4687	3395	8277	42539	6904	28450	42999	21378	36706	19377	29394	38561	81985	78523	89049	68772	65957	79584	27331	162937	59058	23055	45739	65924	12113	23735	22868	33467	62325	19002	84710	40507	53252	66301	219271	44049	48167	33479	113205	302018	385184	145644	192598	786331	352895	261159	1057340	766613	321913	68904	31053	543286	579409	465538	755007	1302610	380149	701162	613457	225306	816491	1174880	215433	412990	428213	168642	736113	319840	1259120	506202	652257	594022	974618
Simulated_feature_group_A_41	2	16	0	1	21	0	34	0	0	2	42	1	2	0	0	1	3	0	0	0	53	4	0	1	51	2	0	141	42	57	99	0	1	27	100	267	6	15	2	5	3	0	9	1	0	11	118	1	143	11	294	0	48	71	0	35	36	0	561	297	7	9	0	1	2	6	137	0	218	202	31	0	814	1553	0	1	619	686	5	135	8	79	3	696	10	169	39	3	0	49	360	277	245	73	0	2853	17	1554	1	46	25	0	31	246	21	903	143	3	2747	141	16212	8	967	0	11592	1	51	2006	33516	19383	1861	1108	1732	1116	7507	245	21940	6233	48125	0	66652	58	8929	6317	20552	6	0	1919	5	1170	326
Simulated_feature_group_A_42	2	0	401	12	26	2	0	14	5	0	152	344	2	1	47	276	30	0	14	0	2	16	2	4	36	0	218	0	0	1	0	6	14	18	0	4	49	29	32	74	69	221	86	41	10	35	105	391	127	239	424	6	668	92	158	339	64	0	1	604	510	191	243	141	20	49	2411	14	720	2218	411	176	14825	2639	129	496	1	866	433	2	220	8856	11123	1	32	282	1083	35	1437	1270	340	6	997	2605	35	149	0	4634	125	4966	2065	2	38	48	5745	607	1478	1406	81	20620	574	28	1163	714	0	2550	123	3666	126	3321	144206	30150	598	12	2905	21120	95	11828	16172	6993	43542	4515	1385	9678	0	26	11	3	0	1527	8
Simulated_feature_group_A_43	2	1	6	0	2	15	15	39	6	2	2	7	17	4	13	5	20	16	6	43	67	30	32	0	37	16	6	6	30	12	11	51	0	22	4	28	121	36	226	62	184	76	66	7	24	153	159	106	42	1	40	206	3	28	23	72	145	45	213	138	173	173	0	224	23	53	114	124	19	156	100	176	1267	351	658	233	372	759	118	1303	598	46	615	2966	189	408	470	293	763	1799	0	89	330	41	1351	358	235	1736	495	223	190	620	210	1269	93	2450	16001	1253	9128	23423	13135	7647	4862	11912	12938	29963	13867	1500	5555	13055	1281	2855	1346	83	4876	2274	3479	843	3174	709	14313	1044	7081	3050	7421	4250	2170	1414	1460	363	17738
Simulated_feature_group_A_44	2	517	71	31	0	40	2	4	0	1	146	45	12	5	0	13	852	7	42	0	116	141	6	37	0	61	0	66	12	155	161	10	101	231	19	11	0	129	3	8	703	0	650	386	158	1977	1	347	819	44	6	1250	225	194	0	40	1720	532	0	178	443	92	0	57	37	7	0	0	181	44	365	2	9	814	681	183	969	5983	33	42	41778	1082	0	31	1	32	102	1036	765	443	1032	2478	849	27	9	99	243	4947	0	0	21	594	171	403	0	0	86956	3524	9052	4400	2502	96195	77398	577	19124	28	75554	0	473	79151	569	24936	847	11053	205	5658	69953	33853	18	37551	18714	6693	1100	8815	10674	32508	6	63	1	124	9
Simulated_feature_group_A_45	2	0	1428	145	247	0	1	209	107	1	11	16	1	0	71	215	71	4	3	0	1	4	4	270	2	0	156	28	216	1	203	0	0	0	9	0	872	147	7	71	0	0	1	1	5	1688	192	15	4	445	75	493	201	0	7	1359	306	90	0	1	16	406	201	520	133	0	0	1	429	6	98	0	22	25	116	1661	1	161	8017	371	2265	0	2913	104	0	77	1932	283	5795	5	740	4864	119	8263	3	4	9134	198	4516	466	1026	1861	0	553	588	409	21464	34384	4499	1925	1	160	9241	1593	99973	449	455	43106	3761	121	334	810	206	58	34	29669	7	24994	56419	40536	23	2509	3823	19290	28288	9845	276	551	30358	56	32
Simulated_feature_group_A_46	2	36	2	11	131	7	115	10	92	8	0	10	17	2	1	149	18	84	80	16	11	56	133	6	0	0	27	16	0	3	229	2	0	7	1	0	630	0	254	190	147	6	222	4	3	306	0	152	168	292	305	162	1	41	1585	0	406	0	11	16	39	345	26	3	0	61	0	309	62	862	0	118	84	1	3997	888	16	87	131	1488	1	241	6	100	947	46	55	252	150	373	421	1	7390	1708	414	2747	1001	1118	785	233	655	9010	3227	5800	16	9298	94	6021	20197	3990	230	66	31655	19480	11	342	0	1135	47	6940	2242	73	401	5216	1955	5421	33178	2387	53	13	476	55362	10794	3856	7067	0	79754	844	218	38584	31769
Simulated_feature_group_A_47	1	23	28	428	103	138	156	253	40	141	203	111	155	147	35	679	47	80	628	812	17	74	107	261	25	70	51	157	8	298	126	305	282	238	160	940	1156	1879	209	52	136	720	214	346	36	747	298	4480	379	2101	2787	439	1255	21	3572	222	447	117	1016	1311	293	900	190	642	40	1503	1140	873	473	1120	625	630	3552	3946	7789	875	5517	5560	2862	7176	9833	2695	3730	7279	8964	5503	2829	714	1891	11110	4824	7955	3133	3817	3590	2079	581	1756	4196	1977	2703	6717	5453	2084	3366	7234	13469	16371	426	119545	45316	21414	50320	77131	25321	137850	1899	56785	12994	20834	37636	2581	42628	109459	92855	79281	30074	12477	57261	10266	83501	39585	121031	14969	4902	4719	39139	1748	45332	49612	176036
